Radius mean,Texture mean,Smoothness mean,Compactness mean,Concavity mean,Symmetry mean,Fractal Dimension mean,Radius SE,Texture SE,Smoothness SE,Compactness SE,Concavity SE,Concave Points SE,Symmetry SE,Fractal Dimension SE,Smoothness worst,Compactness worst,Concavity worst,Symmetry worst,Fractal Dimension worst
12.07,13.44,0.11,0.09009,0.03781,0.1657,0.06608,0.2513,0.504,0.0073269999999999984,0.01153,0.01798,0.007986,0.01962,0.002234,0.1521,0.1632,0.1622,0.2781,0.08052000000000001
12.95,16.02,0.1005,0.07943,0.06155,0.17300000000000001,0.0647,0.2094,0.7636,0.008725,0.020030000000000003,0.02335,0.01132,0.02625,0.004726,0.1483,0.2068,0.2241,0.33799999999999997,0.09584
17.6,23.33,0.09289,0.2004,0.2136,0.1696,0.07368999999999999,0.9289,1.465,0.0067659999999999994,0.07025,0.06591,0.02311,0.016730000000000002,0.0113,0.1207,0.4785,0.5165,0.2301,0.1224
11.34,21.26,0.08759,0.06575,0.051329999999999994,0.1487,0.06529,0.2344,0.9861,0.009113,0.015569999999999999,0.02443,0.006435,0.01568,0.002477,0.1699,0.2196,0.312,0.2829,0.08832000000000001
9.606,16.84,0.08481,0.09228,0.08422,0.2036,0.07125,0.1844,0.9429,0.005954,0.034710000000000005,0.05028,0.00851,0.0175,0.004031,0.1233,0.3416,0.4341,0.2982,0.09825
15.32,17.27,0.1335,0.2284,0.2448,0.2398,0.07596,0.6592,1.0590000000000002,0.01015,0.045880000000000004,0.04983,0.021269999999999997,0.01884,0.00866,0.1765,0.4503,0.4429,0.3258,0.1191
19.19,15.94,0.08694,0.1185,0.1193,0.1741,0.05176,1.0,0.6336,0.009406,0.03055,0.04344,0.027939999999999996,0.031560000000000005,0.0033619999999999995,0.1124,0.2016,0.2264,0.2443,0.06251
9.0,14.4,0.07005,0.031160000000000007,0.0036810000000000002,0.1788,0.06833,0.1746,1.305,0.007389,0.004883,0.0036810000000000002,0.003472,0.027010000000000003,0.002153,0.09861,0.052320000000000005,0.014719999999999999,0.2991,0.07804
17.68,20.74,0.1115,0.1665,0.1855,0.1971,0.06166,0.8113,1.4,0.009037,0.04954,0.05206,0.01841,0.01778,0.004968,0.1418,0.3498,0.3583,0.2463,0.07737999999999999
13.4,20.52,0.1106,0.1469,0.1445,0.2116,0.07325,0.3906,0.9306,0.005414,0.02265,0.03452,0.013340000000000001,0.01705,0.004005,0.1574,0.3856,0.5106,0.3585,0.1109
15.46,11.89,0.1257,0.1555,0.2032,0.1966,0.07069,0.4209,0.6583,0.005393,0.023209999999999998,0.04303,0.0132,0.01792,0.004168,0.1531,0.3583,0.583,0.3216,0.10099999999999999
9.777000000000001,16.99,0.1037,0.08404,0.04334,0.1584,0.07065,0.40299999999999997,1.4240000000000002,0.01385,0.02932,0.027219999999999998,0.01023,0.03281,0.004638000000000001,0.1467,0.1765,0.13,0.2533,0.08467999999999999
